Species/Genus	logn50	logcontigcount	logl50	logtotlen	logcoverage	GCcontent	Busco	logcds_genes	logtrna_genes
Eggerthellaceae bacterium	4.108	2.312	1.699	6.245	1.079	0.58	78.467	1.03	1.286
Eikenella corrodens	4.868	1.8055	0.9975	6.353	2.139	0.557	87.09	3.409	1.28
Elizabethkingia anophelis	5.627	1.5965	0.602	6.6075	2	0.355	83.968	3.134	1.579
Elizabethkingia meningoseptica	5.6485	1.279	0.602	6.596	2	0.364	93.225	2.315	1.606
Elizabethkingia miricola	5.729	1.38	0.602	6.632	2	0.359	82.433	1.893	0.562
Elusimicrobia bacterium	3.899	2.344	1.748	6.168	1	0.44	80.887	2.778	1.433
Enhydrobacter aerosaccus	4.2335	2.725	1.9615	6.71	0	0.655	88.421	1.672	0.49
Ensifer adhaerens	5.378	1.914	1	6.856	1.93	0.623	86.014	1.433	1.639
Enterobacter asburiae	5.174	2.013	1.041	6.691	2.024	0.556	94.599	3.047	0.855
Enterobacter bugandensis	5.618	1.562	0.5395	6.689	2.301	0.559	79.366	1.581	1.489
Enterobacter cancerogenus	5.4235	1.703	0.8115	6.6885	2	0.556	97.769	3.369	1.122
Enterobacter cloacae	5.135	2.023	1.079	6.701	1.989	0.549	80.792	1.813	0.325
Enterobacter hormaechei	5.284	1.9465	0.954	6.6955	2.0395	0.551	96.756	2.533	0.438
Enterobacter kobei	5.1955	1.993	1	6.699	2.0185	0.5485	91.377	2.815	1.253
Enterobacter ludwigii	5.515	1.672	0.7385	6.6855	1.915	0.545	97.202	1.956	0.989
Enterobacter roggenkampii	5.149	2.079	1.079	6.703	2.133	0.5575	92.903	2.636	1.149
Enterocloster clostridioformis	4.904	2.274	1.342	6.732	2	0.49	80.411	2.92	1.523
Enterococcus avium	4.8885	2.17	1.2525	6.632	1.8125	0.39	90.842	3.805	0.747
Enterococcus casseliflavus	5.28	1.671	0.8115	6.5535	2	0.4255	84.44	3.099	0.703
Enterococcus cecorum	4.9265	1.8295	0.954	6.37	1.9865	0.364	97.971	2.178	0.303
Enterococcus durans	4.816	2.004	1.161	6.48	2.196	0.377	97.527	2.036	0.624
Enterococcus faecalis	5.196	1.839	0.778	6.47	1.748	0.374	78.598	3.647	1.234
Enterococcus faecium	4.643	2.276	1.301	6.459	1.771	0.379	93.281	2.138	1.629
Enterococcus gallinarum	5.43	1.58	0.699	6.537	1.944	0.404	98.506	3.466	0.846
Enterococcus hirae	5.372	1.398	0.6505	6.454	2.119	0.369	82.042	3.381	1.883
Enterococcus mundtii	5.023	1.911	1.0395	6.517	1.8315	0.3835	88.19	2.929	1.188
Epibacterium mobile	5.352	1.813	0.845	6.68	2.0065	0.589	98.513	3.275	2.189
Epsilonproteobacteria bacterium	3.942	2.301	1.7355	6.161	1.4345	0.38	87.384	2.826	0.936
Epulopiscium sp.	4.3905	2.34	1.4855	6.344	2.5775	0.3465	92.239	1.384	2.311
Erwinia amylovora	5.589	1.663	0.477	6.58	2	0.535	87.131	2.057	0.592
Erysipelothrix sp.	4.141	2.164	1.398	6.095	2.16	0.353	88.994	3.617	1.05
Erysipelotrichaceae bacterium	4.272	2.1425	1.3885	6.273	1.4285	0.3625	98.72	1.41	0.974
Erysipelotrichia bacterium	3.9205	2.314	1.7195	6.179	1.8525	0.329	96.14	3.292	1.35
Erythrobacter sp.	4.359	2.2555	1.633	6.4355	1.024	0.6295	86.672	1.36	1.522
Escherichia albertii	5.014	2.201	1.176	6.677	1.908	0.497	98.533	1.838	0.729
Escherichia coli	5.062	2.274	1.176	6.721	1.902	0.505	97.115	2.379	2.318
Escherichia fergusonii	5.429	1.826	0.778	6.676	2.121	0.499	97.232	3.716	2.301
Escherichia marmotae	5.3	1.839	0.845	6.667	2.059	0.504	85.578	1.637	1.804
Eubacterium rectale	5.0195	2.083	1.079	6.4665	2	0.418	95.358	2.499	1.325
Eubacterium sp.	4.5955	2.0305	1.267	6.2975	1.0965	0.415	87.979	2.921	0.832
Euryarchaeota archaeon	4.433	1.82	1.23	6.147	-1	0.469	84.485	1.236	0.832
Faecalibacterium prausnitzii	4.73	1.982	1.146	6.379	1.544	0.578	95.674	2.075	0.481
Faecalibacterium sp.	4.353	2.17	1.519	6.341	1.693	0.599	93.661	3.834	1.576
Ferruginibacter sp.	3.962	2.754	2.161	6.567	1.301	0.407	92.022	3.678	0.927
Fibrobacter sp.	4.324	2.5225	1.771	6.6445	2.4605	0.406	89.945	2.194	1.421
Finegoldia magna	5.105	1.5675	0.699	6.276	2	0.319	86.351	3.902	2.011
Firmicutes bacterium	4.181	2.299	1.602	6.31	1.825	0.504	83.593	2.619	0.841
Flammeovirgaceae bacterium	4.357	1.869	1.362	6.157	-1	0.362	85.054	2.301	0.697
Flavobacteriaceae bacterium	4.3835	1.919	1.301	6.25	-1	0.3345	92.683	2.4	2.319
Flavobacteriales bacterium	4.418	1.792	1.204	6.195	-1	0.331	80.212	1.748	0.83
Flavobacteriia bacterium	4.036	2.497	1.778	6.27	0.8355	0.437	81.588	3.494	0.316
Flavobacterium columnare	4.7985	2.11	1.2425	6.52	2.2855	0.306	79.008	1.428	1.218
Flavobacterium psychrophilum	4.974	2.045	1.041	6.436	1.903	0.324	98.898	1.767	0.606
Flavobacterium sp.	4.2605	2.381	1.748	6.5125	1.204	0.354	88.887	3.408	0.718
Francisella tularensis	4.431	2	1.362	6.253	2.093	0.322	95.625	1.32	0.437
Fusarium oxysporum	4.8705	3.69	2.2695	7.704	1.672	0.478	94.002	1.101	1.659
Fusicatenibacter saccharivorans	4.687	2.167	1.279	6.505	1.949	0.486	97.351	3.455	1.637
Fusobacterium necrophorum	5.144	1.748	0.778	6.33	1.778	0.351	78.975	2.825	1.362
Fusobacterium nucleatum	4.885	1.9085	1.0205	6.3705	1.9645	0.27	85.676	1.595	1.617
Gallibacterium anatis	4.722	1.9615	1.146	6.398	1.889	0.398	91.048	2.359	1.905
Gammaproteobacteria bacterium	4.16	2.338	1.672	6.3475	0.905	0.5175	80.78	1.643	0.305
Gardnerella vaginalis	5.6055	1.06	0.301	6.2135	1.6715	0.4185	91.814	3.237	1.911
Gemmataceae bacterium	4.378	2.348	1.708	6.603	1	0.594	91.316	3.403	1.195
Gemmatimonadaceae bacterium	4.2145	2.5105	1.823	6.571	1.1865	0.676	85.548	1.469	1.175
Gemmatimonadales bacterium	3.8185	2.602	2.007	6.4555	1.0085	0.6765	85.062	1.318	2.283
Gemmatimonadetes bacterium	4.1345	2.5025	1.799	6.467	1	0.663	77.845	3.341	0.741
Gemmiger formicilis	4.2015	2.3775	1.715	6.363	1.0555	0.605	98.788	1.715	1.256
Gemmiger sp.	4.188	2.36	1.6855	6.39	1.4205	0.564	86.915	2.88	0.603
Geobacter sp.	4.583	2.201	1.43	6.5585	1.7195	0.554	80.183	2.556	1.304
Geodermatophilaceae bacterium	3.899	2.693	2.061	6.464	1.257	0.691	89.313	1.556	0.969
Gilliamella apicola	4.824	2.041	1.146	6.454	1.079	0.344	89.999	3.508	0.721
Gilliamella apis	4.901	1.857	1	6.397	1.447	0.347	83.429	3.412	0.396
Glaesserella parasuis	4.606	2.164	1.23	6.3405	1.999	0.399	93.8	2.923	1.593
Gluconobacter oxydans	5.0565	1.939	0.9225	6.4605	2.34	0.6095	94.677	3.434	1.617
Gordonia paraffinivorans	5.093	1.966	1.041	6.6385	2.2795	0.692	81.914	1.254	0.661
Hadesarchaea archaeon	3.7255	2.1625	1.672	5.886	1.0175	0.558	85.924	3.478	2.197
Haematospirillum jordaniae	5.38	1.477	0.477	6.3785	2.175	0.554	86.617	3.698	1.505
Haemophilus haemolyticus	5.378	1.477	0.602	6.284	2.193	0.384	78.383	1.036	1.057
Haemophilus influenzae	5.097	1.699	0.699	6.266	1.88	0.38	99.21	1.728	1.067
Haemophilus parainfluenzae	5.303	1.505	0.602	6.318	1.672	0.394	91.988	1.961	1.306
Hafnia alvei	5.459	1.785	0.778	6.68	2	0.487	80.501	3.248	0.868
Hafnia paralvei	5.092	2.0065	1.1395	6.6735	2.2385	0.481	97.954	2.762	1.424
Halanaerobiaceae bacterium	4.0085	2.4125	1.728	6.33	1.109	0.401	95.171	3.188	1.745
Haliea sp.	5.03	1.771	1.114	6.58	-1	0.605	94.717	3.636	1.024
Halieaceae bacterium	4.524	1.839	1.146	6.219	2.543	0.539	99.592	2.184	0.713
Halomonas sp.	4.2465	2.3665	1.658	6.4585	0.89	0.588	94.006	1.409	2.145
Helicobacter cinaedi	4.6115	2.392	1.204	6.328	1.9535	0.384	97.362	3.42	1.596
Helicobacter pullorum	4.607	2.104	1.176	6.256	2.076	0.344	94.762	3.605	2.174
Helicobacter pylori	4.985	1.602	0.699	6.211	2	0.389	77.888	2.803	1.943
Helicobacter suis	4.912	1.898	0.845	6.214	1.699	0.399	93.795	1.58	2.17
Helicobacteraceae bacterium	3.766	2.236	1.851	6.133	0.927	0.396	90.939	1.686	0.667
Histophilus somni	4.817	2.1	1	6.348	2.161	0.371	81.72	3.784	0.978
Homo sapiens	6.166	2.612	1.826	7.62	1.477	0.409	93.185	3.839	1.415
Hordeum vulgare	2.394	5.777	5.377	8.207	0	0.5965	86.583	2.01	1.466
Hortaea werneckii	4.323	3.618	2.849	7.686	1.447	0.533	98.415	3.159	1.449
Hungateiclostridium thermocellum	4.888	2.079	1.114	6.539	2.568	0.391	96.17	2.259	2.261
Hyphomicrobium sp.	4.684	2.057	1.38	6.523	1.185	0.624	92.413	2.456	0.848
Hyphomonadaceae bacterium	4.5295	2.057	1.46	6.435	-0.4855	0.5925	94.688	1.119	2.172
Hyphomonas sp.	4.991	1.886	1	6.539	-1	0.595	82.086	1.332	0.556
Idiomarina sp.	4.715	1.851	1.279	6.362	-1	0.471	90.842	1.281	2.287
Ignavibacteria bacterium	4.026	2.524	1.845	6.425	1	0.366	96.873	3.469	1.498
Ignavibacteriaceae bacterium	4.3595	2.4065	1.623	6.5245	1.233	0.353	83.019	1.289	1.382
Ignavibacteriae bacterium	4.6435	2.1115	1.3975	6.431	1.0505	0.348	98.811	2.149	1.442
Ignavibacteriales bacterium	4.0655	2.5505	1.8825	6.5345	1.162	0.442	88.114	2.502	1.784
Ignisphaera aggregans	4.217	2.1365	1.351	6.2185	1.424	0.379	97.47	2.416	1.674
Janthinobacterium lividum	5.4485	1.662	0.8115	6.8045	1.984	0.626	78.888	3.002	1.328
Kiritimatiellae bacterium	3.939	2.516	1.959	6.372	1.098	0.587	80.099	3.115	1.218
Klebsiella aerogenes	5.329	1.836	0.903	6.719	1.96	0.55	97.141	1.838	0.554
Klebsiella grimontii	5.3845	2.155	0.903	6.7945	1.785	0.555	88.333	3.89	1.191
Klebsiella michiganensis	5.255	2.079	1.079	6.793	1.918	0.557	96.66	3.554	1.896
Klebsiella oxytoca	5.346	2.019	0.9285	6.778	1.9345	0.551	84.481	3.04	1.634
Klebsiella pneumoniae	5.321	2.029	0.954	6.748	2	0.572	86.489	1.646	2.299
Klebsiella quasipneumoniae	5.481	1.934	0.778	6.737	2	0.578	82.297	1.071	0.409
Klebsiella quasivariicola	5.446	1.7065	0.8115	6.7425	1.579	0.5695	85.712	1.91	2.166
Klebsiella variicola	5.501	1.8095	0.778	6.751	2	0.573	99.14	2.295	1.385
Kocuria rhizophila	5.0845	1.6975	0.903	6.4305	2.052	0.707	99.357	3.066	1.888
Komagataella pastoris	5.641	2.2125	0.903	6.971	2	0.411	90.309	3.602	1.145
Lachnospira sp.	4.1495	2.273	1.69	6.395	1.0655	0.378	96.613	3.814	1.89
Lachnospiraceae bacterium	4.4205	2.335	1.505	6.4335	1.301	0.445	81.187	2.228	0.384
Lacticaseibacillus paracasei	4.7605	2.1285	1.19	6.47	1.8675	0.463	82.307	3.367	2.06
Lactiplantibacillus plantarum	5.158	1.842	0.903	6.513	1.5115	0.444	93.151	1.501	0.75
Lactobacillus acidophilus	5.225	1.4545	0.477	6.294	1.9485	0.346	95.706	3.548	1.959
Lactobacillus brevis	4.904	2.013	1.041	6.407	2.025	0.458	96.215	2.973	1.217
Lactobacillus buchneri	5.382	1.591	0.602	6.398	1.88	0.443	91.981	3.697	1.037
Lactobacillus casei	4.677	2.167	1.279	6.474	1.886	0.477	86.222	3.773	1.025
Lactobacillus crispatus	4.5135	2.1395	1.3005	6.323	1.944	0.368	92.128	3.145	0.393
Lactobacillus delbrueckii	4.709	1.94	1.041	6.253	2.004	0.499	97.706	1.268	0.574
Lactobacillus gasseri	5.085	1.633	0.699	6.281	1.763	0.349	99.069	3.573	0.457
Lactobacillus helveticus	4.278	2.362	1.491	6.312	2.274	0.366	80.035	1.926	0.883
Lactobacillus iners	4.967	1.491	0.699	6.115	1.805	0.327	80.833	2.638	1.26
Lactobacillus jensenii	4.76	1.7745	0.903	6.2235	1.8235	0.3425	86.388	3.897	0.716
Lactobacillus johnsonii	4.846	1.806	0.954	6.278	2	0.345	92.767	3.635	0.526
Lactobacillus kunkeei	5.131	1.491	0.602	6.191	2.301	0.3665	82.216	1.552	0.839
Lactobacillus micheneri	5.5585	1.161	0.301	6.1645	1.808	0.306	82.492	1.063	1.444
Lactobacillus mucosae	5.0135	1.6655	0.8115	6.345	2.126	0.464	93.532	1.045	0.921
Lactobacillus murinus	4.373	2.299	1.462	6.38	1.968	0.396	82.663	1.879	0.512
Lactobacillus reuteri	4.707	2.093	1.114	6.319	2.171	0.386	92.269	2.218	0.585
Lactobacillus rhamnosus	4.958	1.9215	1.041	6.469	1.37	0.467	78.473	2.667	1.767
Lactobacillus ruminis	4.78	1.919	1.041	6.329	2	0.437	93.805	3.483	0.831
Lactobacillus sakei	5.056	1.618	0.8115	6.2935	1.7815	0.41	88.143	3.584	1.139
Lactobacillus sanfranciscensis	4.893	1.613	0.699	6.108	2.384	0.347	97.432	3.439	1.677
Lactobacillus sp.	4.914	1.473	0.8115	6.229	1.664	0.3705	86.048	3.341	1.466
Lactococcus garvieae	5.067	1.681	0.845	6.319	2.152	0.381	89.373	2.633	1.631
Lactococcus lactis	4.914	2.043	1	6.401	1.699	0.351	88.213	1.248	1.246
Larix gmelinii	2.5405	3.3215	2.688	5.9295	0	0.406	89.693	1.907	2.172
Leclercia adecarboxylata	5.438	1.785	0.845	6.697	1.851	0.556	78.708	1.155	0.743
Legionella pneumophila	5.322	1.591	0.778	6.537	2	0.383	99.948	2.215	2.263
Legionella taurinensis	5.276	1.663	0.7385	6.485	1.7075	0.483	85.544	3.753	2.021
Legionellales bacterium	4.494	1.826	1.146	6.142	-1	0.414	91.644	1.658	1.245
Lentisphaerae bacterium	3.859	2.673	2.057	6.503	1.782	0.5935	93.298	3.198	2.235
Lentisphaeria bacterium	3.7695	2.688	2.113	6.4455	0.972	0.55	99.815	2.559	1.51
Leptospira borgpetersenii	4.871	2.064	1.204	6.59	1.796	0.401	89.754	2.187	1.428
Leptospira interrogans	4.635	2.34	1.519	6.67	1.762	0.35	98.617	1.236	1.642
Leptospira kirschneri	4.8	2.196	1.398	6.645	1.756	0.359	96.508	1.343	0.776
Leptospira levettii	5.947	1.255	0.301	6.594	1.699	0.375	89.933	3.899	2.311
Leptospira noguchii	4.7085	2.3315	1.431	6.6765	1.763	0.356	87.584	2.105	0.515
Leptospira santarosai	5.077	1.94	1.041	6.605	1.775	0.418	84.085	2.886	1.135
Leptospira weilii	4.718	2.354	1.38	6.631	1.776	0.4075	94.106	3.861	1.059
Leuconostoc citreum	5.217	1.3385	0.5395	6.2625	1.62	0.3885	80.347	1.722	2.303
Leuconostoc lactis	4.927	1.626	0.874	6.237	1.896	0.4315	96.644	1.134	1.191
Leuconostoc mesenteroides	4.8165	1.9265	0.954	6.271	1.699	0.378	83.768	3.423	0.898
Leuconostoc pseudomesenteroides	4.662	1.964	1.114	6.299	1.398	0.3905	91.41	2.01	2.084
Ligilactobacillus agilis	4.79	1.908	1.041	6.336	2.117	0.414	88.163	3.143	1.508
Ligilactobacillus salivarius	4.919	1.778	0.845	6.298	1.531	0.328	96.773	3.032	2.301
Limosilactobacillus fermentum	4.6325	2.0545	1.176	6.299	2.03	0.518	92.743	1.574	0.365
Listeria booriae	5.546	1.462	0.602	6.5475	1.9305	0.419	82.283	2.594	1.517
Listeria innocua	5.595	1.342	0.477	6.466	2.104	0.373	91.703	1.511	0.797
Listeria ivanovii	4.941	1.785	1.114	6.457	1.602	0.369	86.042	1.781	1.142
Listeria marthii	5.7035	1.06	0.301	6.438	1.944	0.387	84.834	1.246	1.021
Listeria monocytogenes	5.548	1.431	0.602	6.481	2.057	0.379	98.289	1.987	1.298
Listeria seeligeri	5.3485	1.498	0.699	6.458	1.9835	0.372	78.845	3.313	0.62
Listeria welshimeri	5.585	1.342	0.477	6.446	2.063	0.362	94.27	3.452	1.832
Lonsdalea populi	4.754	2.176	1.342	6.57	2	0.554	93.187	3.768	1.62
Lysinibacillus fusiformis	5.327	1.771	0.903	6.672	2.09	0.373	82.625	3.313	1.213
Lysinibacillus sphaericus	5.302	1.845	0.903	6.659	2	0.371	86.791	1.729	0.516
Macrococcus caseolyticus	4.999	1.872	0.874	6.342	1.759	0.365	90.895	1.622	1.418
Mannheimia haemolytica	4.8195	2.015	1.114	6.4115	1.371	0.411	80.79	2.549	0.907
Marinobacter sp.	4.615	1.978	1.398	6.493	-1	0.573	97.993	1.227	2.034
Marinovum sp.	4.388	2.0485	1.439	6.3215	-1	0.404	95.751	2.723	1.989
Melissococcus plutonius	5.662	1.041	0.301	6.3145	2.361	0.311	88.742	1.288	2.318
Mesorhizobium loti	5.678	1.556	0.699	6.816	1.74	0.629	85.811	1.946	2.093
Mesorhizobium sp.	5.41	2.114	0.954	6.822	1.792	0.624	90.118	1.301	0.624
Methanobrevibacter smithii	4.9955	1.6625	0.845	6.2785	2.248	0.304	89.269	1.221	0.821
Methanomassiliicoccaceae archaeon	4.0565	2.149	1.4835	6.0715	1.4485	0.5235	79.873	1.038	1.218
Methanomicrobiales archaeon	3.8975	2.526	1.844	6.2775	2.3595	0.592	81.776	3.864	1.723
Methanosarcinales archaeon	3.727	2.456	1.929	6.2	1.491	0.453	87.71	1.624	0.583
Methanothrix sp.	4.041	2.277	1.6355	6.2705	2.246	0.5285	86.293	3.27	0.636
Methylococcaceae bacterium	4.04	2.4815	1.8715	6.444	1	0.487	83.706	3.364	2.165
Methylocystaceae bacterium	4.1425	2.275	1.55	6.1495	1	0.4985	95.798	2.087	2.294
Methylophaga sp.	5.079	1.643	0.903	6.461	0	0.432	93.243	3.097	0.628
Methylophilaceae bacterium	3.868	2.26	1.602	5.989	0.981	0.423	89.047	2.933	2.261
Methylotenera sp.	4.328	2.053	1.447	6.25	1	0.435	98.671	3.577	1.647
Microbacteriaceae bacterium	3.804	2.588	1.929	6.3085	1.1505	0.6115	86.973	3.32	0.529
Microbacterium sp.	4.519	2.079	1.398	6.417	-1	0.692	91.799	3.06	1.208
Microbotryum violaceum	6.1495	2.167	0.903	7.4815	2.176	0.5605	94.438	1.245	2.142
Micrococcales bacterium	4.296	2.25	1.415	6.374	1	0.624	97.026	2.493	1.521
Micrococcus luteus	4.66	2.057	1.255	6.399	2.169	0.73	86.93	2.613	0.332
Micrococcus lylae	6.326	0.301	0	6.327	2	0.367	85.8	3.019	1.667
Microcystis aeruginosa	4.442	2.4685	1.732	6.662	2.3845	0.426	98.537	2.662	2.164
Microcystis flos-aquae	4.5	2.357	1.653	6.668	2.575	0.428	99.94	2.233	0.477
Mobiluncus curtisii	5.7975	1.161	0.301	6.337	2	0.555	78.793	1.741	0.466
Mobiluncus mulieris	5.1185	1.886	0.699	6.405	2	0.55	77.875	1.69	1.31
Mollicutes bacterium	4.1615	2.037	1.301	6.0995	1.3675	0.4085	93.487	2.061	1.933
Moorella thermoacetica	5.314	1.519	0.699	6.418	2.336	0.558	78.297	1.726	2.038
Moraxella catarrhalis	5.245	1.602	0.602	6.284	1.602	0.416	78.626	3.911	2.105
Morganella morganii	5.396	1.785	0.699	6.596	2	0.51	91.996	3.676	1.718
Moritella viscosa	4.892	2.2365	1.29	6.71	1.732	0.393	90.72	2.024	0.78
Muribaculaceae bacterium	4.405	2.32	1.4905	6.3925	1.525	0.5045	90.335	3.311	2.34
Mycobacterium avium	4.7	2.513	1.505	6.713	2.176	0.69	83.07	3.134	1.086
Mycobacterium chimaera	4.954	2.17	1.322	6.78	1.826	0.677	88.153	1.88	1.169
Mycobacterium colombiense	4.923	2.241	1.301	6.75	2.082	0.675	78.581	2.22	0.681
Mycobacterium intracellulare	4.954	2.201	1.279	6.743	2.048	0.68	94.746	2.398	1.088
Mycobacterium kansasii	4.7135	2.404	1.568	6.8015	1.7285	0.661	90.553	1.178	1.344
Mycobacterium sp.	4.577	2.415	1.74	6.788	1.121	0.667	78.915	1.671	1.607
Mycobacterium tuberculosis	5.77	1.255	0.477	6.642	2	0.656	92.203	3.314	2.138
Mycobacteroides abscessus	5.761	1.342	0.477	6.704	2	0.641	99.796	3.91	2.328
Mycobacteroides chelonae	5.828	1.491	0.477	6.709	2.114	0.64	96.898	2.557	1.76
Mycobacteroides immunogenum	5.405	1.716	0.845	6.758	2	0.641	91.581	3.055	1.232
Mycolicibacterium conceptionense	5.114	2.079	1.217	6.81	2.029	0.664	94.13	1.102	1.907
Mycolicibacterium fortuitum	4.925	2.262	1.398	6.8125	2.0065	0.6615	91.166	2.589	1.295
Mycoplasma bovis	4.445	1.851	1.079	5.97	2.545	0.294	85.516	2.243	1.021
Mycoplasma gallisepticum	4.643	1.8825	0.8265	5.975	1	0.3145	87.658	3.583	1.708
Mycoplasma mycoides	4.38	1.978	1.079	5.986	1.748	0.237	92.019	1.384	1.265
Mycoplasma pneumoniae	4.7975	1.648	0.602	5.909	1.958	0.399	83.891	2.483	0.458
Myxococcales bacterium	4.111	2.587	1.914	6.581	1	0.648	97.722	2.555	2.197
Nanoarchaeota archaeon	4.045	1.826	1.204	5.827	-0.292	0.334	84.525	3.401	0.966
Natronohydrobacter sp.	4.0265	2.533	1.9465	6.4515	1.4655	0.6105	87.155	2.091	0.348
Neisseria flavescens	5.195	1.574	0.7385	6.3545	1.351	0.491	91.253	3.276	1.321
Neisseria gonorrhoeae	4.6745	2.1255	1.146	6.331	2	0.524	91.648	1.081	1.518
Neisseria lactamica	5.308	1.568	0.602	6.34	2.029	0.523	96.503	1.032	2.289
Neisseria meningitidis	4.434	2.185	1.38	6.327	2	0.518	93.473	3.896	0.795
Neisseria subflava	5.422	1.491	0.477	6.355	1.466	0.491	89.719	3.57	0.672
Neorhizobium galegae	5.501	1.813	0.845	6.807	1.778	0.615	84.394	2.957	1.772
Nitriliruptoraceae bacterium	3.933	2.598	2.0065	6.482	1.552	0.714	86.768	3.202	0.773
Nitrosomonadales bacterium	3.997	2.298	1.6945	6.252	0.9595	0.5285	93.089	1.194	1.862
Nitrosopumilaceae archaeon	4.3005	2.078	1.352	6.09	1	0.3355	83.42	1.645	2.081
Nitrosopumilales archaeon	4.064	2.045	1.531	6.159	0.785	0.355	81.259	1.577	1.379
Nitrosopumilus sp.	4.0055	2.2505	1.638	6.0515	1.159	0.336	92.17	3.869	1.227
Nitrososphaerales archaeon	4.133	2.068	1.483	6.115	1.1275	0.4505	92.871	3.35	0.387
Nitrososphaeria archaeon	3.915	2.243	1.58	6.076	1.037	0.457	79.419	3.747	1.348
Nitrospina sp.	4.2045	2.1935	1.643	6.2565	0	0.484	95.421	2.921	2.059
Nitrospira sp.	4.264	2.3335	1.633	6.5005	1.5425	0.554	87.387	2.868	2.207
Nitrospiraceae bacterium	4.072	2.2215	1.628	6.267	1	0.5775	86.054	1.601	0.755
Nitrospirae bacterium	3.857	2.504	1.94	6.311	1.043	0.474	83.883	2.66	2.121
Nocardia seriolae	4.604	2.548	1.792	6.888	2.523	0.683	83.403	2.809	1.217
Nocardioidaceae bacterium	4.019	2.501	1.886	6.42	1.192	0.692	95.366	2.481	2.203
Novosphingobium sp.	4.11	2.458	1.799	6.411	0.806	0.642	88.863	1.852	1.502
Oceanospirillaceae bacterium	4.615	2.0895	1.476	6.5615	-1	0.522	87.184	1.585	1.758
Oceanospirillales bacterium	4.257	2.365	1.591	6.461	0.811	0.465	84.246	2.414	2.31
Ochrobactrum anthropi	5.746	1.519	0.477	6.691	1.778	0.562	88.481	1.405	1.067
Ochrobactrum intermedium	5.629	1.826	0.602	6.678	1.813	0.577	79.041	2.94	2.206
Odoribacter splanchnicus	4.9565	2.107	1.2275	6.6615	1.862	0.44	94.132	1.516	0.507
Oenococcus oeni	4.504	2.369	1.255	6.278	1.738	0.379	92.977	1.702	1.232
Oligoflexia bacterium	3.873	2.667	2.097	6.413	0	0.471	82.662	3.031	0.898
Opitutaceae bacterium	3.989	2.512	1.903	6.454	1	0.628	92.815	1.076	1.22
Opitutae bacterium	4.35	2.093	1.477	6.377	0.796	0.514	77.794	2.355	1.851
Opitutales bacterium	4.253	2.305	1.653	6.382	1.088	0.585	99.841	2.115	0.34
Orientia tsutsugamushi	4.456	2.085	1.244	6.238	1.9805	0.302	97.635	3.312	0.356
Oryza rufipogon	4.32	2.19	0.845	5.639	2.076	0.433	77.972	1.529	1.891
Oryza sativa	4.48	1.978	0.699	5.619	1.934	0.435	86.966	3.753	0.993
Oscillospiraceae bacterium	4.478	2.004	1.362	6.277	1.234	0.605	77.997	3.576	0.996
Paenibacillus odorifer	5.2745	2.039	1.079	6.844	1.919	0.441	99.395	1.903	0.676
Paenibacillus polymyxa	5.567	1.937	0.699	6.764	2.0615	0.455	99.87	2.834	0.857
Paeniclostridium sordellii	6.094	1.484	0.1505	6.5445	2.337	0.273	95.216	3.706	1.701
Pandoraea apista	5.0265	2.073	1.2425	6.7505	1.041	0.627	99.464	1.956	2.032
Pantoea agglomerans	5.491	1.785	0.699	6.687	2	0.551	80.552	1.071	2.336
Pantoea ananatis	5.637	1.763	0.602	6.687	1.845	0.535	98.87	2.196	0.95
Pantoea brenneri	5.112	2.025	1.041	6.701	2.6625	0.559	80.728	1.417	1.283
Pantoea dispersa	5.3675	1.801	0.845	6.6895	1.866	0.5765	78.331	1.963	0.328
Pantoea stewartii	5.429	1.748	0.845	6.679	1.895	0.537	89.419	2.859	0.376
Parabacteroides distasonis	5.354	1.919	0.903	6.711	2.05	0.452	96.618	3.313	1.733
Parabacteroides goldsteinii	5.103	2.111	1.23	6.83	1.797	0.434	97.054	2.335	1.312
Parabacteroides merdae	5.25	1.826	1	6.666	2	0.453	92.656	1.036	1.84
Pasteurella multocida	5.344	1.505	0.602	6.366	2.528	0.403	78.182	3.432	1.649
Pectobacterium brasiliense	5.607	1.7965	0.602	6.6835	2	0.5205	98.232	3.737	1.253
Pectobacterium carotovorum	5.201	1.869	0.954	6.683	2	0.519	90.437	3.87	0.785
Pectobacterium polaris	5.309	1.747	0.9285	6.686	1.875	0.518	79.512	1.818	1.608
Pediococcus acidilactici	5.2825	1.477	0.602	6.3035	1.69	0.421	87.618	2.163	1.244
Pediococcus pentosaceus	5.476	1.439	0.477	6.262	1.7385	0.372	87.881	3.599	0.604
Pedobacter sp.	4.134	2.53	1.74	6.446	1.301	0.381	90.516	1.602	1.231
Pedosphaera sp.	4.311	2.182	1.633	6.462	1	0.594	81.223	3.804	2.019
Pelagibacteraceae bacterium	4.4155	1.6225	1	5.9685	-1	0.298	92.717	1.352	0.447
Pelagibacterales bacterium	4.482	1.491	0.903	5.886	0.938	0.295	87.335	2.023	1.224
Peptococcaceae bacterium	4.349	2.352	1.556	6.39	1.301	0.461	87.952	2.367	2.136
Phascolarctobacterium faecium	5.302	1.38	0.477	6.388	2.503	0.436	77.957	2.726	2.075
Phocaeicola dorei	5.2765	1.932	1.0205	6.7365	2.0135	0.419	79.806	3.051	1.414
Phocaeicola vulgatus	5.1	2	1.114	6.719	2.128	0.424	87.806	1.378	0.619
